,date,ticker,field,value
504,2017-06-28,SPX Index,PX_LAST,2440.69
505,2017-06-29,SPX Index,PX_LAST,2419.7
506,2017-06-30,SPX Index,PX_LAST,2423.41
507,2017-07-03,SPX Index,PX_LAST,2429.01
508,2017-07-05,SPX Index,PX_LAST,2432.54
509,2017-07-06,SPX Index,PX_LAST,2409.75
510,2017-07-07,SPX Index,PX_LAST,2425.18
511,2017-07-10,SPX Index,PX_LAST,2427.43
512,2017-07-11,SPX Index,PX_LAST,2425.53
513,2017-07-12,SPX Index,PX_LAST,2443.25
514,2017-07-13,SPX Index,PX_LAST,2447.83
515,2017-07-14,SPX Index,PX_LAST,2459.27
516,2017-07-17,SPX Index,PX_LAST,2459.14
517,2017-07-18,SPX Index,PX_LAST,2460.61
518,2017-07-19,SPX Index,PX_LAST,2473.83
519,2017-07-20,SPX Index,PX_LAST,2473.45
520,2017-07-21,SPX Index,PX_LAST,2472.54
521,2017-07-24,SPX Index,PX_LAST,2469.91
522,2017-07-25,SPX Index,PX_LAST,2477.13
523,2017-07-26,SPX Index,PX_LAST,2477.83
524,2017-07-27,SPX Index,PX_LAST,2475.42
525,2017-07-28,SPX Index,PX_LAST,2472.1
526,2017-07-31,SPX Index,PX_LAST,2470.3
527,2017-08-01,SPX Index,PX_LAST,2476.35
528,2017-08-02,SPX Index,PX_LAST,2477.57
529,2017-08-03,SPX Index,PX_LAST,2472.16
530,2017-08-04,SPX Index,PX_LAST,2476.83
531,2017-08-07,SPX Index,PX_LAST,2480.91
532,2017-08-08,SPX Index,PX_LAST,2474.92
533,2017-08-09,SPX Index,PX_LAST,2474.02
534,2017-08-10,SPX Index,PX_LAST,2438.21
535,2017-08-11,SPX Index,PX_LAST,2441.32
536,2017-08-14,SPX Index,PX_LAST,2465.84
537,2017-08-15,SPX Index,PX_LAST,2464.61
538,2017-08-16,SPX Index,PX_LAST,2468.11
539,2017-08-17,SPX Index,PX_LAST,2430.01
540,2017-08-18,SPX Index,PX_LAST,2425.55
541,2017-08-21,SPX Index,PX_LAST,2428.37
542,2017-08-22,SPX Index,PX_LAST,2452.51
543,2017-08-23,SPX Index,PX_LAST,2444.04
544,2017-08-24,SPX Index,PX_LAST,2438.97
545,2017-08-25,SPX Index,PX_LAST,2443.05
546,2017-08-28,SPX Index,PX_LAST,2444.24
547,2017-08-29,SPX Index,PX_LAST,2446.3
548,2017-08-30,SPX Index,PX_LAST,2457.59
549,2017-08-31,SPX Index,PX_LAST,2471.65
550,2017-09-01,SPX Index,PX_LAST,2476.55
551,2017-09-05,SPX Index,PX_LAST,2457.85
552,2017-09-06,SPX Index,PX_LAST,2465.54
553,2017-09-07,SPX Index,PX_LAST,2465.1
554,2017-09-08,SPX Index,PX_LAST,2461.43
555,2017-09-11,SPX Index,PX_LAST,2488.11
556,2017-09-12,SPX Index,PX_LAST,2496.48
557,2017-09-13,SPX Index,PX_LAST,2498.37
558,2017-09-14,SPX Index,PX_LAST,2495.62
559,2017-09-15,SPX Index,PX_LAST,2500.23
560,2017-09-18,SPX Index,PX_LAST,2503.87
561,2017-09-19,SPX Index,PX_LAST,2506.65
562,2017-09-20,SPX Index,PX_LAST,2508.24
563,2017-09-21,SPX Index,PX_LAST,2500.6
564,2017-09-22,SPX Index,PX_LAST,2502.22
565,2017-09-25,SPX Index,PX_LAST,2496.66
566,2017-09-26,SPX Index,PX_LAST,2496.84
567,2017-09-27,SPX Index,PX_LAST,2507.04
568,2017-09-28,SPX Index,PX_LAST,2510.06
569,2017-09-29,SPX Index,PX_LAST,2519.36
570,2017-10-02,SPX Index,PX_LAST,2529.12
571,2017-10-03,SPX Index,PX_LAST,2534.58
572,2017-10-04,SPX Index,PX_LAST,2537.74
573,2017-10-05,SPX Index,PX_LAST,2552.07
574,2017-10-06,SPX Index,PX_LAST,2549.33
575,2017-10-09,SPX Index,PX_LAST,2544.73
576,2017-10-10,SPX Index,PX_LAST,2550.64
577,2017-10-11,SPX Index,PX_LAST,2555.24
578,2017-10-12,SPX Index,PX_LAST,2550.93
579,2017-10-13,SPX Index,PX_LAST,2553.17
580,2017-10-16,SPX Index,PX_LAST,2557.64
581,2017-10-17,SPX Index,PX_LAST,2559.36
582,2017-10-18,SPX Index,PX_LAST,2561.26
583,2017-10-19,SPX Index,PX_LAST,2562.1
584,2017-10-20,SPX Index,PX_LAST,2575.21
585,2017-10-23,SPX Index,PX_LAST,2564.98
586,2017-10-24,SPX Index,PX_LAST,2569.13
587,2017-10-25,SPX Index,PX_LAST,2557.15
588,2017-10-26,SPX Index,PX_LAST,2560.4
589,2017-10-27,SPX Index,PX_LAST,2581.07
590,2017-10-30,SPX Index,PX_LAST,2572.83
591,2017-10-31,SPX Index,PX_LAST,2575.26
592,2017-11-01,SPX Index,PX_LAST,2579.36
593,2017-11-02,SPX Index,PX_LAST,2579.85
594,2017-11-03,SPX Index,PX_LAST,2587.84
595,2017-11-06,SPX Index,PX_LAST,2591.13
596,2017-11-07,SPX Index,PX_LAST,2590.64
597,2017-11-08,SPX Index,PX_LAST,2594.38
598,2017-11-09,SPX Index,PX_LAST,2584.62
599,2017-11-10,SPX Index,PX_LAST,2582.3
600,2017-11-13,SPX Index,PX_LAST,2584.84
601,2017-11-14,SPX Index,PX_LAST,2578.87
602,2017-11-15,SPX Index,PX_LAST,2564.62
603,2017-11-16,SPX Index,PX_LAST,2585.64
604,2017-11-17,SPX Index,PX_LAST,2578.85
605,2017-11-20,SPX Index,PX_LAST,2582.14
606,2017-11-21,SPX Index,PX_LAST,2599.03
607,2017-11-22,SPX Index,PX_LAST,2597.08
608,2017-11-24,SPX Index,PX_LAST,2602.42
609,2017-11-27,SPX Index,PX_LAST,2601.42
610,2017-11-28,SPX Index,PX_LAST,2627.04
611,2017-11-29,SPX Index,PX_LAST,2626.07
612,2017-11-30,SPX Index,PX_LAST,2647.58
613,2017-12-01,SPX Index,PX_LAST,2642.22
614,2017-12-04,SPX Index,PX_LAST,2639.44
615,2017-12-05,SPX Index,PX_LAST,2629.57
616,2017-12-06,SPX Index,PX_LAST,2629.27
617,2017-12-07,SPX Index,PX_LAST,2636.98
618,2017-12-08,SPX Index,PX_LAST,2651.5
619,2017-12-11,SPX Index,PX_LAST,2659.99
620,2017-12-12,SPX Index,PX_LAST,2664.11
621,2017-12-13,SPX Index,PX_LAST,2662.85
622,2017-12-14,SPX Index,PX_LAST,2652.01
623,2017-12-15,SPX Index,PX_LAST,2675.81
624,2017-12-18,SPX Index,PX_LAST,2690.16
625,2017-12-19,SPX Index,PX_LAST,2681.47
626,2017-12-20,SPX Index,PX_LAST,2679.25
627,2017-12-21,SPX Index,PX_LAST,2684.57
628,2017-12-22,SPX Index,PX_LAST,2683.34
629,2017-12-26,SPX Index,PX_LAST,2680.5
630,2017-12-27,SPX Index,PX_LAST,2682.62
631,2017-12-28,SPX Index,PX_LAST,2687.54
632,2017-12-29,SPX Index,PX_LAST,2673.61
633,2018-01-02,SPX Index,PX_LAST,2695.81
634,2018-01-03,SPX Index,PX_LAST,2713.06
635,2018-01-04,SPX Index,PX_LAST,2723.99
636,2018-01-05,SPX Index,PX_LAST,2743.15
637,2018-01-08,SPX Index,PX_LAST,2747.71
638,2018-01-09,SPX Index,PX_LAST,2751.29
639,2018-01-10,SPX Index,PX_LAST,2748.23
640,2018-01-11,SPX Index,PX_LAST,2767.56
641,2018-01-12,SPX Index,PX_LAST,2786.24
642,2018-01-16,SPX Index,PX_LAST,2776.42
643,2018-01-17,SPX Index,PX_LAST,2802.56
644,2018-01-18,SPX Index,PX_LAST,2798.03
645,2018-01-19,SPX Index,PX_LAST,2810.3
646,2018-01-22,SPX Index,PX_LAST,2832.97
647,2018-01-23,SPX Index,PX_LAST,2839.13
648,2018-01-24,SPX Index,PX_LAST,2837.54
649,2018-01-25,SPX Index,PX_LAST,2839.25
650,2018-01-26,SPX Index,PX_LAST,2872.87
651,2018-01-29,SPX Index,PX_LAST,2853.53
652,2018-01-30,SPX Index,PX_LAST,2822.43
653,2018-01-31,SPX Index,PX_LAST,2823.81
654,2018-02-01,SPX Index,PX_LAST,2821.98
655,2018-02-02,SPX Index,PX_LAST,2762.13
656,2018-02-05,SPX Index,PX_LAST,2648.94
657,2018-02-06,SPX Index,PX_LAST,2695.14
658,2018-02-07,SPX Index,PX_LAST,2681.66
659,2018-02-08,SPX Index,PX_LAST,2581.0
660,2018-02-09,SPX Index,PX_LAST,2619.55
661,2018-02-12,SPX Index,PX_LAST,2656.0
662,2018-02-13,SPX Index,PX_LAST,2662.94
663,2018-02-14,SPX Index,PX_LAST,2698.63
664,2018-02-15,SPX Index,PX_LAST,2731.2
